gender,ages,category,rank,keyword,crawled_at
남성,10대,농산물,1,사과,2025-10-26 17:58:04
남성,10대,농산물,2,루비로망,2025-10-26 17:58:04
남성,10대,농산물,3,트러플,2025-10-26 17:58:04
남성,10대,농산물,4,송이버섯,2025-10-26 17:58:04
남성,10대,농산물,5,쌀,2025-10-26 17:58:04
남성,10대,농산물,6,동결건조딸기,2025-10-26 17:58:04
남성,10대,농산물,7,무화과,2025-10-26 17:58:04
남성,10대,농산물,8,샤인머스켓,2025-10-26 17:58:04
남성,10대,농산물,9,쌀20kg,2025-10-26 17:58:04
남성,10대,농산물,10,국산들깨가루1kg가격,2025-10-26 17:58:04
남성,10대,음료,1,레몬즙,2025-10-26 17:58:04
남성,10대,음료,2,두유,2025-10-26 17:58:04
남성,10대,음료,3,생수,2025-10-26 17:58:04
남성,10대,음료,4,맥심모카골드,2025-10-26 17:58:04
남성,10대,음료,5,그릭요거트,2025-10-26 17:58:04
남성,10대,음료,6,쌍화차,2025-10-26 17:58:04
남성,10대,음료,7,멸균우유,2025-10-26 17:58:04
남성,10대,음료,8,생강청,2025-10-26 17:58:04
남성,10대,음료,9,커피믹스,2025-10-26 17:58:04
남성,10대,음료,10,카누,2025-10-26 17:58:04
남성,10대,과자/베이커리,1,칸쵸,2025-10-26 17:58:04
남성,10대,과자/베이커리,2,이세계아이돌빼빼로,2025-10-26 17:58:04
남성,10대,과자/베이커리,3,메롱바,2025-10-26 17:58:04
남성,10대,과자/베이커리,4,동부과자,2025-10-26 17:58:04
남성,10대,과자/베이커리,5,퐁신당,2025-10-26 17:58:04
남성,10대,과자/베이커리,6,두바이초콜릿,2025-10-26 17:58:04
남성,10대,과자/베이커리,7,원칩,2025-10-26 17:58:04
남성,10대,과자/베이커리,8,두바이쫀득쿠키,2025-10-26 17:58:04
남성,10대,과자/베이커리,9,빼빼로,2025-10-26 17:58:04
남성,10대,과자/베이커리,10,이클립스,2025-10-26 17:58:04
남성,20대,농산물,1,무화과,2025-10-26 17:58:20
남성,20대,농산물,2,쌀20kg,2025-10-26 17:58:20
남성,20대,농산물,3,곶감,2025-10-26 17:58:20
남성,20대,농산물,4,사과,2025-10-26 17:58:20
남성,20대,농산물,5,과일선물세트,2025-10-26 17:58:20
남성,20대,농산물,6,고구마,2025-10-26 17:58:20
남성,20대,농산물,7,딸기,2025-10-26 17:58:20
남성,20대,농산물,8,샤인머스켓,2025-10-26 17:58:20
남성,20대,농산물,9,귤,2025-10-26 17:58:20
남성,20대,농산물,10,쌀10kg,2025-10-26 17:58:20
남성,20대,음료,1,몬스터,2025-10-26 17:58:20
남성,20대,음료,2,물,2025-10-26 17:58:20
남성,20대,음료,3,핫식스,2025-10-26 17:58:20
남성,20대,음료,4,몬스터에너지,2025-10-26 17:58:20
남성,20대,음료,5,트로피카나스파클링,2025-10-26 17:58:20
남성,20대,음료,6,핫식스더킹,2025-10-26 17:58:20
남성,20대,음료,7,더킹음료,2025-10-26 17:58:20
남성,20대,음료,8,병콜라,2025-10-26 17:58:20
남성,20대,음료,9,얼박사캔,2025-10-26 17:58:20
남성,20대,음료,10,말차,2025-10-26 17:58:20
남성,20대,과자/베이커리,1,두바이쫀득쿠키,2025-10-26 17:58:20
